W,M
assist,"돕다, 거들다, 원조하다, 어시스트"
assistance,"보조, 도움"
assistant,"보조자, 조수, 보조의, 하위 직급의"
consist,"(주요 특징 등이) ...에 존재하다, ...에 있다, ...로 이루어지다, 구성되다"
consistency,"(태도, 수준 등의) 일관성"
consistent,"시종일관한, 일관된, (진술, 의견 등이) 일치하는, 모순이 없는"
exist,"존재하다, 실재하다, (어려운 상황에서) 생존하다"
existence,"존재, 실재, 생존 (방식)"
insist,"(특정 사실에 대해) 주장하다, 고집하다, (강력히) 요구하다"
insistence,"(강력한) 주장, 요구"
insistent,"고집하는, 끈질긴"
resist,"...에 반대하다, 저항[반항]하다, (유혹 등을) 견디다, 참다"
resistance,"저항 (운동), 반항, 반대"
resistant,"견디는, 내성이 있는, 반대하는, 저항하는"
irresistible,"저항할[억누를] 수 없는, (못 견디게) 매력적인"
restore,"회복하다, 회복시키다, 복원하다, 복구하다, 돌려주다"
restoration,"복원, 복구, 회복, 반환"
restorative,회복시키는
restorable,회복할 수 있는
arrest,체포(하다)
cost,"비용, 값, 가격, (시간, 노력 등의) 희생, 손실, (비용, 대가가) 들다, (시간, 노력 등을) 요하다, (어떤 것을) 희생하다, 잃게 하다"
costly,"값비싼, 손실[희생]이 큰"
steady,"꾸준한, 지속적인, 안정된, 흔들리지 않는"
steadily,꾸준히
unsteady,불안정한
system,"체계, 체제, 방식, 시스템"
systematic,"조직적인, 체계적인"
systematize,"조직화하다, 체계화하다"
systemic,"조직의, 온 몸의"
constitute,"구성하다, ...로 간주되다, 설립하다, 제정하다"
constitution,"헌법, 체격, 체질, 구성, 구조, 조직"
institute,"학회, 협회, 연구소, (제도, 절차 등을) 제정하다, 도입하다"
institution,"(병원, 대학 등의) (공공) 기관[시설], (사회) 제도, 관례, 제정, 설립"
institutional,"제도(상)의, 규정된, 기관의"
substitute,"대체하다, 바꾸다, (일 등을) 대신하다, 대용품, 대리인"
substitution,"대리, 대체, 대용"
destination,"목적지, 행선지"
destined,"...할 운명의, ...하기로 되어 있는, ...행(行)의"
destiny,"운명, 숙명"
superstition,미신
superstitious,미신적인
contain,"포함하다, 함유하다, 수용하다, 담다"
container,"그릇, 용기, 컨테이너"
entertain,"즐겁게 하다, 대접하다, 환대하다"
entertainment,"(영화, 공연 등의) 오락, 연예, 대접, 환대"
entertainer,"연예인, 엔터테이너"
obtain,"얻다, 획득하다"
retain,"보유하다, 유지하다, (정보 등을) 기억하다"
sustain,"유지하다, 지속시키다, (손해, 부상 등을) 겪다, 입다, (무게를) 떠받치다, (의견 등을) 지지하다"
sustainable,지속[유지] 가능한
content,"내용(물), 목차, 용량, 함유량, (연설, 문서, 영화 속의) 주제, 콘텐츠, 이야기, 만족한, 만족시키다"
contentment,만족
continent,"대륙, 육지"
continental,"대륙의, 대륙성의"
continue,"계속하다, 계속되다, (중단한 후에) 다시 시작하다, 재개되다"
continuous,"끊임없는, 계속적인"
continual,"반복[거듭]되는, 빈번한"
move,"움직이다, 이동하다, 이사하다, 진행[진척]되다, 감동시키다, 움직임, 이동, 조치, 행동"
movement,"움직임, 이동, 진전, (개인, 단체의 조직적인) 운동"
moving,"감동시키는, 움직이는, 이동하는"
motive,"(행위의) 동기, 자극, 움직이게 하는, 원동력이 되는"
motivate,"동기를 부여하다, 자극하다"
motivation,"동기 부여, 자극, 열의"
motion,"움직임, 흔들림, 동작, 동작을 하다"
motionless,"움직임이 없는, 가만히 있는"
emotion,"감정, 정서"
emotional,"감정의, 감정적인, 정서적인"
promote,"장려하다, 촉진하다, 승진[승격]시키다, (상품, 행사 등을) 홍보하다"
promotion,"승진, 승격, 판촉, 홍보, 촉진, 장려"
remote,"(위치상) 동떨어진, 외진, (시간, 관계 등이) 먼, (가능성이) 희박한, 원격 조정의"
moment,"순간, 찰나, (특정한) 때, 시기"
momentary,"순간의, 찰나의"
momentarily,"잠깐, 금방"
mobile,"이동성의, 이동식의, (직업, 지역, 계층 등이) 유동적인, 움직이는 조각, (실내 장식용) 모빌, 휴대전화"
mobility,"(사회적) 유동성, 이동성"
conserve,"보존하다, 보호하다"
conservation,"보존, 보호"
conservative,보수적인
deserve,...을 받을 만하다
preserve,"보호하다, 보존하다, 유지하다"
preservation,"보호, 보존, 유지"
preservative,방부제
reserve,"예약하다, 남겨 두다, 비축하다, 비축[예비](품)"
reservation,예약
reserved,내성적인
observe,"(...을 보고) 알아채다, 관찰[주시]하다, (법, 관습 등을) 지키다, 준수하다, (관찰한 바를) 말하다, 진술하다"
observer,"관찰자, 감시자, (회의의) 참관인"
observation,"관찰, 관측"
observance,"(법, 관습 등의) 준수"
observatory,"관측소, 기상대"
spectacle,"구경거리, 장관, 안경"
spectacular,"장관(의), 구경거리(의)"
spectator,"(스포츠 경기 등의) 관중, 구경꾼"
aspect,"(상황, 문제 등의) 측면, 국면, (사물 등의) 방향, 면, 모습, 외관"
expect,"기대하다, 예기[예상]하다, 기다리다, (...라고) 생각하다"
expectation,"기대, 예상"
unexpected,"예기치 않은, 뜻밖의"
inspect,"조사하다, 검사하다, (건물, 기구 등을) 사찰하다, 감사하다"
inspection,"조사, 검사, 사찰, 감사"
inspector,"조사자, 검열관"
prospect,"(장래의) 전망, 예상, 기대, (성공할) 가능성, 조망, 경치"
prospective,"기대되는, 장래의, 곧 있을, 다가오는"
respect,"존경, 존중, 측면, 점, 사항, 존경하다, 존중하다, (법 등을) 준수하다, 지키다"
respectful,"존경[존중]하는, 공손한"
respectable,"존경할 만한, 훌륭한, 꽤 괜찮은"
respective,"각각의, 저마다의, 각자의"
suspect,"의심하다, 혐의를 두다, ...라고 생각하다, 용의자, 요주의 인물"
suspicion,"의심, 혐의"
suspicious,"의심스러운, 수상한"
species,"(생물 분류상의) 종(種), (일반적으로) 종류"
specific,"특정한, 구체적인, 자세한"
specifically,"특히, 특별히, 구체적으로"
specification,"열거, 명세 사항, (상세한) 설명서"
special,특별한
specialist,전문가
specialize,"(...을) 전문으로 하다, 전공하다"
specially,"(특정 목적을 위해) 특별히, 특별하게"
despite,...에도 불구하고
abstract,"추상적인, 이론적인, 추출하다, 요약하다, 추상, 요약, 발췌"
attract,"(주의, 흥미 등을) 끌다, 끌어당기다, 매혹하다"
attractive,"매력적인, 마음을 끄는"
attraction,"매력, 명소, 명물"
contract,"계약을 맺다, 수축하다, 줄다, 수축시키다, 줄이다, 계약(서)"
contraction,"수축, 축소"
distract,"(마음, 주의 등을) 흐트러뜨리다, 산만하게 하다"
distraction,"주의 산만, 정신이 흐트러짐, 기분 전환, 오락 활동"
extract,"뽑아내다, 추출하다, 발췌하다, 추출물, 발췌"
extraction,추출 (과정)
treat,"대(우)하다, 다루다, 치료하다, 대접하다, 한턱내다, 특별한 것[선물], 대접, 한턱"
treatment,"치료, 대우, 처우"
treaty,"(국가 간의) 조약, 협정"
retreat,"후퇴하다, 물러서다, (생각, 결정, 태도 등을) 철회하다, 바꾸다, 후퇴, 퇴각, 철회"
trace,"추적하다, 자국을 따라가다, (유래, 출처, 원인 등을) 밝혀내다, 알아내다, 자국, 자취"
track,"통로, 오솔길, 지나간 자국, 흔적, 철도, 선로, 경주로, 트랙, 자취를 따라가다"
trail,"질질 끌다, 끌리다, 추적하다, 흔적을 쫓다, 오솔길, 작은 길, 자국, 흔적, 실마리"
trait,"특성, 특징"
portray,"묘사하다, 표현하다"
portrait,"초상화, 인물 사진, (대상에 대한 상세한) 묘사"
generate,"생산[창출]하다, 일으키다, (전기 등을) 발생시키다"
generation,"세대, 일대(一代), 발생"
generous,"(성품이) 관대한, 인색하지 않은, (크기, 양 등이) 풍부한"
generosity,"관대함, 인심이 좋음"
general,"일반적인, 보편적인, 대체적인, 대략적인, 전체적인, 전반적인, 장군, 장성, 대장"
generally,"일반적으로, 대개"
generalize,일반화하다
gender,"성, 성별"
genderless,성별 구분이 없는
gene,유전자
genetic,"유전의, 유전학의"
genetics,유전학
genetically,"유전적으로, 유전학적으로"
genius,천재(적 재능)
gentle,"온화한, 상냥한, 친절한, 적당한, 부드러운, 완만한"
gently,"다정하게, 부드럽게"
genuine,"진짜의, 진품의, 진실된, 진정한"
congenital,"(병, 장애 등이) 선천적인, (기질, 특성 등이) 타고난, 천성의"
pregnant,"임신한, (의미, 중요성 등을) 품은, 내포하고 있는"
pregnancy,임신
